키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
한국산업인력공단,"한국산업인력공단 경북서부지사, ‘25년 4분기 기업 네트워크 라운지’ 개최 - • 한길뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiT0FVX3lxTE41cXZDWi1MaWFFaHIyTUVhLWZQdHNXWnNLUnJzbm1icXlGOGd3Y1lCVGJhY2l4LThPTUk3SHlPaEZVaEhhbkFNaE5ibl9zeHc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-12 21:17,2025-12-01 11:16,news.google.com
한국산업인력공단,"[특집]한국산업인력공단, 능력개발전담주치의가 기업 맞춤형 훈련 처방 제공 - 경향신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5YN1o1REtMZ1V1S010NjdlODJ6Z1lwT3JrbXVVS3dnR1lLOE9pd0F6QUMtSjRlOXYzc2ljdmVKWkFoekFndWdReDdWdUcwcWJJNzBrS1pZVVFLZ9IBX0FVX3lxTE9GcUZUVW5yVHh4UjFiQ284aEpYM2RtNm1uWnZHcm0xemx4MnpweF8tNmstcjFBQzV6WHFzdDAzQlhOVl9WZC1JR3lwOFpmOXZHMElHQUF6eGtldXB1cGhz?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-30 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,‘시험도 안 봤는데 합격’ 산업인력공단 ‘기관 경고’ - 매일노동뉴스,본문 추출 실패,https://news.google.com/rss/articles/CBMicEFVX3lxTE1saXFNd1hlc2pnU2NBQW9EZlUyZUdxd0NxNUw0T0lYNHpWZGRySkJWTmlUaHdENzBheWo0dDE5WjVmS0oydVVxbnVBRTdDc1NZSzYyeGNINXljS2tveEh1ZVpFU2ZIZzYtSW1PdVNidjU?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-20 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, '디지털 원격훈련 아카이브 우수사례 확산을 위한 발표회' 개최 - 서울Pn",본문 추출 실패,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOTml0UkxITWNUbHNCWVVXNjc5U1Ita0ZrcTdQNUpBNGNqMWc0MXNIMjF3ejBzdUs5dWREN3g0M3FHSUF2Y3l5NWYtRGJxYldIZGpJd3oyMExNbHBfN3o3eGpCa2hCZnpqeEoyM1hrLXl4T3Z4Nml0dGhMR0Fjdl9DNXJsRVhqSE1R?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-15 22:40,2025-12-01 11:16,news.google.com
한국산업인력공단,"산업인력공단, 중기 근로자 훈련지원…AI 역량 등 비용 90% 보조 - 연합뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBXR3A0Zm9ZanN3WmFYWmNqNGV1LThMSGFrRGRKM0VkdGJBMTdrcndKQ0hqZGtQUkdSd3Nvem82c2FjQWhuNWxFN0hUTS1td3E0bW5vUmp2ZkM5YTTSAWBBVV95cUxOLVRpMDdjVkN2TE9NQzlhSXJYTUctT01NbXRxRU40VnRmUi1zUlN3MEgwc3hDYmpfVHJSYmlYU0F2R1pzajJVZVhkZWF5SzlVN3YtQ190R3p0TUE2SC1jUEM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-16 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"산업인력공단, ‘기계 분야 자격Q’ 발간… “청년층 응시 52.8%, 정밀측정기능사 취업률 71%” - 세이프티퍼스트닷뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTE43TFl4cThqV0JGbHNxZmozcEVtbDE1SFRHYm1rdkVBenZQM1BxenhLUUJVS0pkU0VUSndFeURvZ2NteFhtX2RXZkFzUVFxZTY0eGU1RDh0SHY0ZnFlTXVGVGlXNklMeDNHRVZz?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-03 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,한국산업인력공단 해외취업처 절반이 ‘한국계 기업’ - 매일노동뉴스,본문 추출 실패,https://news.google.com/rss/articles/CBMicEFVX3lxTFBTMDlqNHF4eTZJUm9TMkN0MDRzaU0ySTBlMGFrSFZoeDBOek1xVHBWREl0VnRuQkVBT3VzME1pei13OXRWVHdLQmU4dDZ6U0t4QTV3R1dqVm45LXpzNDd0dnVPbU1pSE9HQVZUZGFpMHY?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-17 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"씨엔알리서치, ‘2025 공정채용 우수기업 어워즈’서 한국산업인력공단 이사장상 수상 - 벤처스퀘어",본문 추출 실패,https://news.google.com/rss/articles/CBMiTkFVX3lxTE5tWUtkUXo1ZEp5cFVWak13UmpSOWFTcjlzR1JNcHg2ZHR1Q2dKZFpLZ3NxQjAzZ1ptTHlPbnNSd201MnhEdnlMUXByd1RkQQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-11 17:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"산업인력공단, 시험 출제 직원이 수험 참고서 판매해 논란 - 세계일보",본문 추출 실패,https://news.google.com/rss/articles/CBMiWEFVX3lxTE0tcWdaRHFzYmdQblpMazhXdm5tZ0ZxeFZYM3ZNZjlZbE52WWdnOXpiLU4yWkV4UU50cnNGaDhtQ3ozeV9pNGJBTFFmNnYtZGl3VGprUklzSmPSAVRBVV95cUxQdWFHWk5pTFJzVWRVYW9hbUs0c01iN0VUY29vdjhfamFwanllV3A3bGNaM1hja0FzZlE1a294a0xzOEYwZmpQWFNjVDFnbXIzZFBCX0E?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-22 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"산업인력공단, 2025년 해외취업지원사업 우수사례 경진대회 개최 - 전자신문",본문 추출 실패,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBJelpoZEJhYlNEQnExNHhZeWdoNWs3djVpYkxqa0ZjTVN1SUlpZnptQ0t6MU9UQWZodnZsRS1ETC1xOVVHd2lyNDJleXhUdw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-05 17:00,2025-12-01 11:16,news.google.com
