키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
고용노동부,"고용노동부 장관, ""심야노동 물류센터 불시 점검"" - 서울포커스",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTE9wYUxmZ24zVWtlbFNDRzlDSkU1bUkwUWZwbWFZeUZzT0sydm03M3RsNDB3QW5PVmtxUkdTUmpELVV3YnZYWkJFc3JrcHBOaS1mdmJzMHdqcThpcGpJVlJpaWExQUVSRG51d0JN?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 16:59,2025-12-01 11:15,news.google.com
고용노동부,"고용노동부영주지청, 제3차 시기별 안전위험요인 집중점검주간 운영 - 문경시민신문",본문 추출 실패,https://news.google.com/rss/articles/CBMie0FVX3lxTE1LT3NPNXJ6aG85b2JSaENtY0g5MmNrY3pNUTQwZElMclFMT0NNWGp4YUlEbXhFYThUa1JqV3g0Q3lvTjFxOUs5TEVTakozTkRNMGVyeDhiTExsWjBVRXFjazZ4NE92b3RTMHdRMXFHY05GN3ZOLWpWczV1dw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-28 15:30,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 물류센터·배송캠프 야간노동 전면 점검 착수 - 아주경제",본문 추출 실패,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9pcEdrN1hvV3Fya3N4bmJpLTZ1R2V3a1VKQXR6ZWlqOU5mY1NaNlB1WmxNY2dZNTFxX2x1TU43RDVhYXkyNzJiOERBczZTcVdraVMtMTMzdENDZ9IBWEFVX3lxTE9RYm9yS0tmQWc3b1ZhRktfZkJlQmE5WXUxd3pBcTRVU1dLaTdlN2d0cXhMZHEzNkprbVloaGU4aTlESU1GNllCUEpsSHdDR1huUlVDbEJrSWM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:00,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 내달 임금체불 전수조사… 자진 신고 시범운영 - 조선비즈 - Chosunbiz",본문 추출 실패,https://news.google.com/rss/articles/CBMihgFBVV95cUxQV0h5UFNyYU5CUmZDcUNDODNibHlZT1JEbFgwdDRSQjFpN1p2WGhnV2xvN0hiSlhvdkJxdTB1NmNqNGpTNG5JNVVvZG1kWnFxRU1vZ3didHRMWVM5Y0E4OUtzTmViZmVHVkdjSEFyR1pOVFRadWdTRGNsb296SDNIRVhRd2RWQdIBmgFBVV95cUxObm5qRmt1cmFwdjRON1BOWTA1TFhBb2FzLUNOZVg3N2NZclM4WGlDcnBIQy0tbFdwRFBfWmkwWF94enZZaExjeXZpT05wYVl2S0YtcEtyWXktLXc0SkxqODJBdENxOW9xbE5OUlRILTBEVzBtVzVoVHNTT3RyT3FVdUZlMmpGLURSOVktRTQyeDNSQkI5RkgzMUF3?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 17:02,2025-12-01 11:15,news.google.com
고용노동부,"최태식 노동부 창원지청장 취임…""임금체불·중대재해 예방 최선"" - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTE0zb3BwSlVnSzBEN0R2WmxwV0U1WEEwaUZ2Mkh1QzZQME9PdVNfRUtHNVVhMUMxUXc2ZDRVaEp0ellmNzA2ZXd5ZURxRlBLbTFHZTF3?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:37,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 물류센터·배송캠프 야간노동 실태점검 착수 - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTFA1dFhtaW1mQmVCVEZRbnFJMldSUXNZM0loVFZKaE53TlRhblh5ZkgyaWhSM1N6YWVjRnFSLW43YXhSaTVLS2tvRlZFMkZzVFpLM1dF?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:09,2025-12-01 11:15,news.google.com
고용노동부,고용노동부청주지청-청주시-안전보건공단충북본부 업무협약 - 충청타임즈,본문 추출 실패,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9NWF9RM3UwdkxWanEyVWQzWC1VMHg4R3I4b1FrcVdRTU0xUDhvNW40MHp3WUt3N2ZkVHhYVVZMd3NrbzN0cEYwZnFiUkQ1STBPR1A1WWZHZ3NFaXBJVms0UXhtUmlwamhu?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 13:10,2025-12-01 11:15,news.google.com
고용노동부,"고용노동부 군산지청, 동절기 건설현장 안전위험요인 집중점검 - 위즈뉴스",본문 추출 실패,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBQclBqcXhzam5nUDNhZC0tRGxQRm1CZ3hvQlNSNlpqb1RkTzFralNiXzQyOVYyejY4bXNaakVpS29JaFBSeXhURmF5Y1hxRFlwdUVaanpYVkF1TTRNM3dHRXp2NU1tZw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 00:08,2025-12-01 11:15,news.google.com
고용노동부,"고용노동부, 퇴직연금 우수 사업자에 미래·삼성·한투·NH증권 - 조선비즈 - Chosunbiz",본문 추출 실패,https://news.google.com/rss/articles/CBMiigFBVV95cUxOdUNhWmE4aXh4bF8ya0V6TUtpTmlPaE4zOXA4SVVReXg5WjR2Z1A0QncxWjFBTTJ2SlE4MG9MV3h2OVRSWUF4Z19USTFpdks0VTVjeXJncUE3Vnh4NDB5MndBM0tIQ2tHRjVXaWxBZFVqZjB2WnFxVEUzMWx1YThidzRlbXl1eVp5aFHSAZ4BQVVfeXFMT1ExODRLV05MREdEUjVRR0pnVjFKYkNnVWExSThuQ0d3eWRyUVhmUExBRm9ybnB4NFRseUIxTV9oTnB5eGpPdGVTS2RjVWZnVFYwaW9mTzhTcTZHYm5jeTRucGVtZ1d5SkY4ME5PXzdzUzV4VnU1RTZVVW9EUzJxVWZ6SnFBbFJSeUtKNU1XWGtIakRuSGk4QVR2WU4ydUE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 14:16,2025-12-01 11:15,news.google.com
고용노동부,"노동부, 쿠팡 야간노동·건강권 보호조치 실태 점검 착수 - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTE8xN2xkbkZHd3c2Q2tuSzdwM29XWEZ0VTluNEFlUm5zVTRFekVNNWRhdHFFZC1EeVU3enNNX2hHM0F3eldFU1l4ai13dnBmY3p2VjhB?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 10:10,2025-12-01 11:15,news.google.com
고용노동부,양영봉 신임 울산고용지청장 취임 본격 업무 - 울산신문,본문 추출 실패,https://news.google.com/rss/articles/CBMibkFVX3lxTE8tNEpwVGxOVTl5ODlMVEd3MWdmU3dxLUJjTFFwNF8zVm1IMW5Wa3hfYU84MmQ2Q2s1RVZDMXlmZ2F1cGIxSk9PcVl2dzFWUFVLbWxEZWhRYXdyMjlFT1RSY2R0dC16aTFHYzlXNmJ30gFyQVVfeXFMUHVqUGgzVWczTE82c2JORThrWEFyUEtxSGdnWW9oaExabzhHOXdMdzI2N3QyMHFxVk9PRG9tWTE5Qmw3aUsxSFYzQkpnd0FKMEp0NjFtXzBoSnA5c2RNNnJaR0p5S2gwYW0tUnJfZ2VhU0JB?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-30 20:14,2025-12-01 11:15,news.google.com
